Region,Year,Population,Violent crime3,"Rate per 
100,000","Murder and 
nonnegligent 
manslaughter","Rate per 
100,000","Rape
(revised definition)4","Rate per 
100,000","Rape
(legacy definition)5","Rate per 
100,000",Robbery,"Rate per 
100,000",Aggravated assault,"Rate per 
100,000",Property crime,"Rate per 
100,000",Burglary,"Rate per 
100,000",Larceny-theft,"Rate per 
100,000",Motor vehicle theft,"Rate per 
100,000"
Pacific,2015,52341730,206989,395.5,2277,4.4,18677,35.7,13570,25.9,62321,119.1,123714,236.4,1460335,2790,277380,529.9,966813,1847.1,216142,412.9
,2016,52801933,218032,412.9,2325,4.4,20172,38.2,14873,28.2,64562,122.3,130973,248,1445697,2738,264420,500.8,950331,1799.8,230946,437.4
     Alaska,2015,737709,5391,730.8,59,8,900,122,648,87.8,761,103.2,3671,497.6,20806,2820.4,3511,475.9,15249,2067.1,2046,277.3
,2016,741894,5966,804.2,52,7,1053,141.9,757,102,850,114.6,4011,540.6,24876,3353,4053,546.3,17766,2394.7,3057,412.1
     California,2015,38993940,166883,428,1861,4.8,12811,32.9,9341,24,52862,135.6,99349,254.8,1024914,2628.4,197404,506.2,656517,1683.6,170993,438.5
,2016,39250017,174796,445.3,1930,4.9,13702,34.9,10149,25.9,54789,139.6,104375,265.9,1002070,2553,188304,479.8,637010,1623,176756,450.3
     Hawaii,2015,1425157,3530,247.7,29,2,538,37.8,382,26.8,1085,76.1,1878,131.8,45389,3184.8,6810,477.8,33140,2325.4,5439,381.6
,2016,1428557,4417,309.2,35,2.5,619,43.3,447,31.3,994,69.6,2769,193.8,42753,2992.7,6017,421.2,31082,2175.8,5654,395.8
     Oregon,2015,4024634,10680,265.4,110,2.7,1650,41,1193,29.6,2163,53.7,6757,167.9,119752,2975.5,18541,460.7,90514,2249,10697,265.8
,2016,4093465,10830,264.6,113,2.8,1721,42,1261,30.8,2278,55.6,6718,164.1,121345,2964.4,16866,412,91286,2230,13193,322.3
     Washington,2015,7160290,20505,286.4,218,3,2778,38.8,2006,28,5450,76.1,12059,168.4,249474,3484.1,51114,713.9,171393,2393.7,26967,376.6
,2016,7288000,22023,302.2,195,2.7,3077,42.2,2259,31,5651,77.5,13100,179.7,254653,3494.1,49180,674.8,173187,2376.3,32286,443
Puerto Rico,2015,3473181,7629,219.7,584,16.8,165,4.8,123,3.5,4070,117.2,2810,80.9,37717,1085.9,9150,263.4,24493,705.2,4074,117.3
,2016,3411307,7643,224,679,19.9,169,5,128,3.8,3201,93.8,3594,105.4,35201,1031.9,8251,241.9,23163,679,3787,111
